[2026-07-18T23:09:03.104Z] GET http://localhost:4001/hospital.html → 200 (8ms, 25738B)
[2026-07-18T23:09:03.128Z] GET http://localhost:4001/world.json → 200 (34ms, 2659B)
[2026-07-18T23:09:03.163Z] GET http://localhost:4001/meta.json → 200 (2ms, 887B)
[2026-07-18T23:09:03.166Z] GET http://localhost:4001/master_movement.json → 200 (1ms, 776911B)
[2026-07-18T23:15:28.229Z] GET http://localhost:4001/hospital.html → 200 (1ms, -189B)
[2026-07-18T23:15:28.235Z] GET http://localhost:4001/world.json → 200 (2ms, 2659B)
[2026-07-18T23:15:28.237Z] GET http://localhost:4001/meta.json → 200 (4ms, 887B)
[2026-07-18T23:15:28.242Z] GET http://localhost:4001/master_movement.json → 200 (?ms, 776911B)
[2026-07-18T23:16:42.306Z] GET http://localhost:4001/hospital.html → 200 (1ms, -189B)
[2026-07-18T23:16:42.311Z] GET http://localhost:4001/world.json → 200 (2ms, 2659B)
[2026-07-18T23:16:42.313Z] GET http://localhost:4001/meta.json → 200 (2ms, 887B)
[2026-07-18T23:16:42.315Z] GET http://localhost:4001/master_movement.json → 200 (1ms, 776911B)
[2026-07-18T23:18:10.571Z] GET http://localhost:4001/hospital.html?v=3 → 200 (3ms, 31394B)
[2026-07-18T23:18:10.578Z] GET http://localhost:4001/world.json → 200 (2ms, 2659B)
[2026-07-18T23:18:10.580Z] GET http://localhost:4001/meta.json → 200 (2ms, 887B)
[2026-07-18T23:18:10.582Z] GET http://localhost:4001/master_movement.json → 200 (1ms, 776911B)
[2026-07-18T23:18:22.164Z] GET http://localhost:4001/hospital.html?v=4 → 200 (3ms, 31394B)
[2026-07-18T23:18:22.172Z] GET http://localhost:4001/world.json → 200 (2ms, 2659B)
[2026-07-18T23:18:22.174Z] GET http://localhost:4001/meta.json → 200 (2ms, 887B)
[2026-07-18T23:18:22.176Z] GET http://localhost:4001/master_movement.json → 200 (2ms, 776911B)
